permutation,permutation_count,permutation_size
king of israel sent to amaziah king of judah saying the thistle that was in lebanon sent to the cedar that was in lebanon saying give thy daughter to my son to wife and there passed by a wild beast that was in lebanon and trode down the thistle,2,49
the house of his precious things the silver and the gold and the spices and the precious ointment and all the house of his armour and all that was found in his treasures there was nothing in his house nor in all his dominion that hezekiah shewed them not,2,49
and it came to pass as he was worshipping in the house of nisroch his god that adrammelech and sharezer his sons smote him with the sword and they escaped into the land of armenia and esarhaddon his son reigned in his stead,2,43
it stood upon twelve oxen three looking toward the north and three looking toward the west and three looking toward the south and three looking toward the east and the sea was set above upon them and all their hinder parts were inward,2,43
his offering was one silver charger the weight whereof was an hundred and thirty shekels one silver bowl of seventy shekels after the shekel of the sanctuary both of them full of fine flour mingled with oil for a meat offering,7,41
his offering was one silver charger of the weight of an hundred and thirty shekels one silver bowl of seventy shekels after the shekel of the sanctuary both of them full of fine flour mingled with oil for a meat offering,2,41
when he uttereth his voice there is a multitude of waters in the heavens and he causeth the vapours to ascend from the ends of the earth he maketh lightnings with rain and bringeth forth the wind out of his treasures,2,41
the words of rabshakeh whom the king of assyria his master hath sent to reproach the living god and will reprove the words which the lord thy god hath heard wherefore lift up thy prayer for the remnant that,2,39
run away from her and who is a chosen man that i may appoint over her for who is like me and who will appoint me the time and who is that shepherd that will stand before me,2,38
in the earth even with a band of iron and brass in the tender grass of the field and let it be wet with the dew of heaven and let his portion be with the beasts,2,36
the children of israel have forsaken thy covenant thrown down thine altars and slain thy prophets with the sword and i even i only am left and they seek my life to take it away,2,35
by their generations after their families by the house of their fathers according to the number of the names from twenty years old and upward all that were able to go forth to war,9,34
and the lord said unto satan hast thou considered my servant job that there is none like him in the earth a perfect and an upright man one that feareth god and escheweth evil,2,34
hast thou not heard long ago how i have done it and of ancient times that i have formed it now have i brought it to pass that thou shouldest be to lay waste,2,34
them nor serve them for i the lord thy god am a jealous god visiting the iniquity of the fathers upon the children unto the third and fourth generation of them that hate me,2,34
can serve two masters for either he will hate the one and love the other or else he will hold to the one and despise the other ye cannot serve god and mammon,2,33
make us gods which shall go before us for as for this moses the man that brought us up out of the land of egypt we wot not what is become of him,2,33
put it upon the tip of the right ear of him that is to be cleansed and upon the thumb of his right hand and upon the great toe of his right foot,2,33
then came isaiah the prophet unto king hezekiah and said unto him what said these men and from whence came they unto thee and hezekiah said they are come from a far country,2,33
upon the tip of the right ear of him that is to be cleansed and upon the thumb of his right hand and upon the great toe of his right foot upon the,2,33
saying let us alone what have we to do with thee thou jesus of nazareth art thou come to destroy us i know thee who thou art the holy one of god,2,32
a knop under two branches of the same and a knop under two branches of the same and a knop under two branches of the same according to the six branches,2,31
and the priest shall take of the blood of the sin offering with his finger and put it upon the horns of the altar of burnt offering and shall pour out,2,31
because they have forsaken me and have burned incense unto other gods that they might provoke me to anger with all the works of their hands therefore my wrath shall be,2,31
the portion of jacob is not like them for he is the former of all things and israel is the rod of his inheritance the lord of hosts is his name,2,31
and the two kidneys and the fat that is upon them which is by the flanks and the caul above the liver with the kidneys it shall he take away,3,30
and he did that which was evil in the sight of the lord he departed not from the sins of jeroboam the son of nebat who made israel to sin,2,30
and he said if the syrians be too strong for me then thou shalt help me but if the children of ammon be too strong for thee then i will,2,30
and of thy sons that shall issue from thee which thou shalt beget shall they take away and they shall be eunuchs in the palace of the king of babylon,2,30
i charge you o ye daughters of jerusalem by the roes and by the hinds of the field that ye stir not up nor awake my love till he please,2,30
the lord hath spoken concerning him the virgin the daughter of zion hath despised thee and laughed thee to scorn the daughter of jerusalem hath shaken her head at thee,2,30
therefore their inhabitants were of small power they were dismayed and confounded they were as the grass of the field and as the green herb as the grass on the,2,30
was thirty and five years old when he began to reign and he reigned twenty and five years in jerusalem and his mothers name was azubah the daughter of shilhi,2,30
ye mountains of israel hear the word of the lord god thus saith the lord god to the mountains and to the hills to the rivers and to the valleys,2,30
and cast it from thee for it is profitable for thee that one of thy members should perish and not that thy whole body should be cast into hell,2,29
and he did that which was evil in the sight of the lord he departed not from all the sins of jeroboam the son of nebat who made israel,2,29
brake through the host of the philistines and drew water out of the well of bethlehem that was by the gate and took it and brought it to david,2,29
how then wilt thou turn away the face of one captain of the least of my masters servants and put thy trust on egypt for chariots and for horsemen,2,29
not to say within yourselves we have abraham to our father for i say unto you that god is able of these stones to raise up children unto abraham,2,29
was over the household and shebna the scribe and joah the son of asaph the recorder to hezekiah with their clothes rent and told him the words of rabshakeh,2,29
with his finger and put it upon the horns of the altar of burnt offering and shall pour out all the blood thereof at the bottom of the altar,2,29
and it came to pass when king hezekiah heard it that he rent his clothes and covered himself with sackcloth and went into the house of the lord,2,28
good and faithful servant thou hast been faithful over a few things i will make thee ruler over many things enter thou into the joy of thy lord,2,28
the people of the land slew all them that had conspired against king amon and the people of the land made josiah his son king in his stead,2,28
whom hast thou reproached and blasphemed and against whom hast thou exalted thy voice and lifted up thine eyes on high even against the holy one of israel,2,28
and their meat offering and their drink offerings for the bullocks for the rams and for the lambs shall be according to their number after the manner,5,27
from thirty years old and upward even unto fifty years old every one that entereth into the service for the work in the tabernacle of the congregation,3,27
according to the number of the names by their polls every male from twenty years old and upward all that were able to go forth to war,2,27
and have cast their gods into the fire for they were no gods but the work of mens hands wood and stone therefore they have destroyed them,2,27
but the seventh day is the sabbath of the lord thy god in it thou shalt not do any work thou nor thy son nor thy daughter,2,27
for out of jerusalem shall go forth a remnant and they that escape out of mount zion the zeal of the lord of hosts shall do this,2,27
have desired to see those things which ye see and have not seen them and to hear those things which ye hear and have not heard them,2,27
have the gods of the nations delivered them which my fathers have destroyed as gozan and haran and rezeph and the children of eden which were in,2,27
how i have walked before thee in truth and with a perfect heart and have done that which is good in thy sight and hezekiah wept sore,2,27
jesus master it is good for us to be here and let us make three tabernacles one for thee and one for moses and one for elias,2,27
the lord stirred up the spirit of cyrus king of persia that he made a proclamation throughout all his kingdom and put it also in writing saying,2,27
the pillars of brass that were in the house of the lord and the bases and the brasen sea that was in the house of the lord,2,27
thee any graven image or any likeness of any thing that is in heaven above or that is in the earth beneath or that is in the,2,27
therefore thus saith the lord concerning the king of assyria he shall not come into this city nor shoot an arrow there nor come before it with,2,27
thou shalt not take the name of the lord thy god in vain for the lord will not hold him guiltless that taketh his name in vain,2,27
and say thus saith the king put this fellow in the prison and feed him with bread of affliction and with water of affliction until i,2,26
and twelve lions stood there on the one side and on the other upon the six steps there was not the like made in any kingdom,2,26
he that hath an ear let him hear what the spirit saith unto the churches to him that overcometh will i give to eat of the,2,26
it is easier for a camel to go through the eye of a needle than for a rich man to enter into the kingdom of god,2,26
seven other spirits more wicked than himself and they enter in and dwell there and the last state of that man is worse than the first,2,26
the porters the children of shallum the children of ater the children of talmon the children of akkub the children of hatita the children of shobai,2,26
until i come and take you away to a land like your own land a land of corn and wine a land of bread and vineyards,2,26
years old when he began to reign and he reigned eleven years in jerusalem and his mothers name was hamutal the daughter of jeremiah of libnah,2,26
and for a sacrifice of peace offerings two oxen five rams five he goats five lambs of the first year this was the offering of,12,25
and made a covenant before the lord to walk after the lord and to keep his commandments and his testimonies and his statutes with all,2,25
and the tirshatha said unto them that they should not eat of the most holy things till there stood up a priest with urim and,2,25
benaiah the son of jehoiada the son of a valiant man of kabzeel who had done many acts he slew two lionlike men of moab,2,25
court and palm trees were upon the posts thereof on this side and on that side and the going up to it had eight steps,2,25
hearken not to hezekiah for thus saith the king of assyria make an agreement with me by a present and come out to me and,2,25
in the second year of darius came the word of the lord unto zechariah the son of berechiah the son of iddo the prophet saying,2,25
of the meat offering shall be aarons and his sons it is a thing most holy of the offerings of the lord made by fire,2,25
put my hook in thy nose and my bridle in thy lips and i will turn thee back by the way by which thou camest,2,25
then solomon assembled the elders of israel and all the heads of the tribes the chief of the fathers of the children of israel unto,2,25
thus shall ye speak to hezekiah king of judah saying let not thy god in whom thou trustest deceive thee saying jerusalem shall not be,2,25
