word,translated_count,translate_ts
and,51696,2023-09-04 11:56:39.540002
in,12667,2023-09-04 11:56:39.540002
i,8853,2023-09-04 11:56:39.540002
lord,7964,2023-09-04 11:56:39.540002
god,4469,2023-09-04 11:56:39.540002
king,2540,2023-09-04 11:56:39.540002
land,1717,2023-09-04 11:56:39.540002
over,1008,2023-09-04 11:56:39.540002
earth,987,2023-09-04 11:56:39.540002
under,392,2023-09-04 11:56:39.540002
kings,334,2023-09-04 11:56:39.540002
gods,244,2023-09-04 11:56:39.540002
above,223,2023-09-04 11:56:39.540002
ground,192,2023-09-04 11:56:39.540002
dust,108,2023-09-04 11:56:39.540002
foot,95,2023-09-04 11:56:39.540002
pillars,89,2023-09-04 11:56:39.540002
dry,71,2023-09-04 11:56:39.540002
pillar,47,2023-09-04 11:56:39.540002
lands,46,2023-09-04 11:56:39.540002
lords,42,2023-09-04 11:56:39.540002
beneath,28,2023-09-04 11:56:39.540002
simple,20,2023-09-04 11:56:39.540002
bottom,20,2023-09-04 11:56:39.540002
floor,19,2023-09-04 11:56:39.540002
base,18,2023-09-04 11:56:39.540002
footstool,16,2023-09-04 11:56:39.540002
bases,16,2023-09-04 11:56:39.540002
miracle,10,2023-09-04 11:56:39.540002
bottomless,7,2023-09-04 11:56:39.540002
underneath,3,2023-09-04 11:56:39.540002
grounded,3,2023-09-04 11:56:39.540002
basest,2,2023-09-04 11:56:39.540002
baser,1,2023-09-04 11:56:39.540002
soil,1,2023-09-04 11:56:39.540002
bottoms,1,2023-09-04 11:56:39.540002
and,51696,2023-09-04 12:02:01.475789
in,12667,2023-09-04 12:02:01.475789
i,8853,2023-09-04 12:02:01.475789
lord,7964,2023-09-04 12:02:01.475789
god,4469,2023-09-04 12:02:01.475789
king,2540,2023-09-04 12:02:01.475789
land,1717,2023-09-04 12:02:01.475789
over,1008,2023-09-04 12:02:01.475789
earth,987,2023-09-04 12:02:01.475789
under,392,2023-09-04 12:02:01.475789
kings,334,2023-09-04 12:02:01.475789
gods,244,2023-09-04 12:02:01.475789
above,223,2023-09-04 12:02:01.475789
ground,192,2023-09-04 12:02:01.475789
dust,108,2023-09-04 12:02:01.475789
foot,95,2023-09-04 12:02:01.475789
pillars,89,2023-09-04 12:02:01.475789
dry,71,2023-09-04 12:02:01.475789
pillar,47,2023-09-04 12:02:01.475789
lands,46,2023-09-04 12:02:01.475789
lords,42,2023-09-04 12:02:01.475789
beneath,28,2023-09-04 12:02:01.475789
simple,20,2023-09-04 12:02:01.475789
bottom,20,2023-09-04 12:02:01.475789
floor,19,2023-09-04 12:02:01.475789
base,18,2023-09-04 12:02:01.475789
bases,16,2023-09-04 12:02:01.475789
footstool,16,2023-09-04 12:02:01.475789
miracle,10,2023-09-04 12:02:01.475789
bottomless,7,2023-09-04 12:02:01.475789
underneath,3,2023-09-04 12:02:01.475789
grounded,3,2023-09-04 12:02:01.475789
basest,2,2023-09-04 12:02:01.475789
baser,1,2023-09-04 12:02:01.475789
bottoms,1,2023-09-04 12:02:01.475789
soil,1,2023-09-04 12:02:01.475789
appeared,70,2023-09-04 12:02:27.829873
appear,54,2023-09-04 12:02:27.829873
appearance,38,2023-09-04 12:02:27.829873
appeareth,10,2023-09-04 12:02:27.829873
